"region","Branch_ID","center_id","center_name","loan_id","customer_id","Partner_BankID","Collected_By","Collection_Date","Collection_Status","Seq_Num","Collected_Amount","Waive_Off_Amount","principal_amt","interest_amt","paid_by","Collection_Type","Pay_Mode","source","Receipt_Number","Write_Off","Attendance","PreClosure_Reason","PreClosure_Fund_Source","modified_by","modified_on"
"37-Amargol Hubli","143-Shamanur","5990","rudranakatte_5990","532446","58615","Karnataka Gramin Bank-11120","SF00682-RANGAPPA BHANDIVADDAR","2024-11-21","Completed","34","26494","0","26475","19","Group","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00203-Sachin N Gadad","2024-11-21 10:11:48.730"
"37-Amargol Hubli","147-Ranebennur","5515","uma-shankar nagar _5515","523726","51640","State Bank of India-9046","","2024-11-08","Completed","34","38237","0","38237","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"4-Darbhanga","148-Sahebganj","16728","lohar-gawan_16728","630453","138955","Central Bank of India-41115","","2024-12-24","Completed","13","48432","0","48432","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"37-Amargol Hubli","144-Hubbali","10787","tippu-nagar_10787","579585","97744","IDBI-25038","","2024-12-04","Completed","23","45212","0","45212","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"3-Kalaburgi","114-Yadgir","12316","asar-mohalla_12316","596077","111481","Bank of Baroda-33053","","2024-11-29","Completed","17","45173","0","45173","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"4-Darbhanga","119-Runnisaidpur","6945","bedaul-ward no 15_6945","537858","62803","Central Bank of India-12619","SF01220-Puspak Kumar","2024-09-12","Completed","23","36841","0","36814","27","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00578-Rajeev Kumar","2024-09-12 11:44:50.225"
"37-Amargol Hubli","143-Shamanur","12680","vinobha-nagara _12680","599716","114470","Canara Bank-31470","SF00685-Raghavendra N Shivannanavar","2025-02-04","Completed","27","12077","0","12042","35","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00203-Sachin N Gadad","2025-02-04 09:13:35.208"
"4-Darbhanga","171-Forbesganj","13908","dholbazza_13908","612497","124456","Punjab National Bank-35621","SF01207-Nagma parween","2025-01-17","Completed","21","38026","0","37971","55","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00084-Trilok Kumar Sah","2025-01-17 04:26:58.709"
"4-Darbhanga","116-Phulparas","3928","brahampura_3928","507864","37625","State Bank of India-5336","SF01580-Amit Kumar","2025-01-08","Completed","49","20882","0","20882","0","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF01242-Atul Kumar","2025-01-08 09:09:00.899"
"37-Amargol Hubli","130-Belagavi","5373","rukmini-nagar _5373","527077","54247","Canara Bank-9770","SF01309-UMESH SHINGE","2024-12-12","Completed","39","27123","0","27123","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00474-Appayya Malleshi Hudali","2024-12-12 08:48:03.345"
"2-Mathura","118-Aligarh","10940","jakir-nagar_10940","592039","108194","Bank of Baroda-29098","SF00740-Mukesh Kumar","2024-12-06","Completed","20","39393","0","39194","199","Group","PreClosure","Cash","app","0","0","Absent","NA","NA","SF01305-SACHIN CHAUDHARY","2024-12-06 04:46:11.092"
"2-Mathura","118-Aligarh","5367","ajad-nagar_5367","526970","54150","Central Bank of India-9745","SF00046-Kuldeep","2025-01-23","Completed","45","20908","0","20802","106","not paid","PreClosure","None","app","0","0","Absent","NA","NA","SF01305-SACHIN CHAUDHARY","2025-01-23 07:20:01.003"
"37-Amargol Hubli","144-Hubbali","5429","n-a nagar_5429","523772","51682","Karnataka Bank-9353","SF00174-Aslam Yerimani","2024-07-22","Completed","19","39075","0","39075","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","","2024-07-22 10:32:14.476"
"2-Mathura","117-Tundla","7351","chhalesar_7351","543212","66981","State Bank of India-14205","SF00507-Pavan Kumar","2025-02-16","Completed","43","24620","0","24531","89","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00046-Kuldeep","2025-02-16 09:53:27.332"
"3-Kalaburgi","115-Bijapur","3877","gandi-nagar_3877","512110","41477","Karnataka Vikas Grameena Bank-6423","SF00498-Sangamesh Sadashiva Sangamesh","2024-05-15","Completed","14","41890","0","41890","0","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SFIN001-SREFINCREDIT-USER","2024-05-15 11:08:43.445"
"2-Mathura","117-Tundla","4073","sawain_4073","511877","41315","Indian Overseas Bank-6244","SF01648-Pradeep Kumar","2025-02-10","Completed","52","18746","0","18692","54","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00727-Sateesh Kumar","2025-02-10 10:29:02.837"
"2-Mathura","159-Fatehabad","10964","beedhapura_10964","581735","99534","State Bank of India-25691","SF00113-Govind Singh","2024-10-11","Completed","14","36640","0","36534","106","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00520-Ashish Singh","2024-10-11 12:03:31.835"
"37-Amargol Hubli","144-Hubbali","7011","mulla-oni_7011","539169","63456","Union Bank of India-12899","SF00137-Praveen Hanumantappa Walikar","2024-07-02","Completed","12","43185","0","43185","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","","2024-07-02 10:59:51.372"
"2-Mathura","118-Aligarh","4914","beriya-nagla_4914","517686","46399","Bank of Baroda-7509","SF00255-Aman Kumar","2024-05-13","Completed","10","44439","0","44278","161","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SFIN001-SREFINCREDIT-USER","2024-05-13 11:04:29.911"
"4-Darbhanga","131-Benipur","3981","pohadi_3981","511776","41225","Indusind Bank-6217","SF00645-Manohar Kumar","2024-07-10","Completed","21","33252","0","33228","24","Group","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00785-Ashok Bharti","2024-07-10 09:26:58.699"
"2-Mathura","118-Aligarh","10144","jakir-nagar_10144","575875","94581","Bank of Baroda-24045","SF00740-Mukesh Kumar","2024-09-23","Completed","12","37597","0","37461","136","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00127-Dharmendra Rana","2024-09-23 09:04:42.811"
"102-Jharkhand","176-Khunti","11700","eranda-_11700","594249","106037","Bank of India-28271","SF01356-Ruksar Prvin","2025-01-02","Completed","23","37027","0","36973","54","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01011-Vicky kumar","2025-01-02 05:26:41.523"
"3-Kalaburgi","114-Yadgir","9526","aadilpura-area shahapura_9526","566544","86553","Union Bank of India-21585","SF00811-Washim Lalsab Deginal","2024-09-20","Completed","14","42151","0","42120","31","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF01038-Siddappa","2024-09-20 06:00:39.809"
"4-Darbhanga","131-Benipur","5054","hariyath_5054","571061","90412","State Bank of India-22598","SF01198-Aman Kumar","2024-10-09","Completed","16","37828","0","37828","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00059-Sachin Kumar Jha","2024-10-09 11:30:50.685"
"4-Darbhanga","150-Sheohar","8448","sarsaula-khurd _8448","667547","77010","Bank of Baroda-18043","SF00822-Nitesh Kumar","2024-12-27","Completed","3","34462","0","34412","50","not paid","PreClosure","None","app","0","0","Absent","NA","NA","SF00578-Rajeev Kumar","2024-12-27 08:53:04.617"
"2-Mathura","145-Kiraoli","11026","lakhanpur_11026","582527","100216","Canara Bank-25978","","2024-12-23","Completed","24","44708","0","44708","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"37-Amargol Hubli","121-Haveri","9263","konana-tambigi_9263","563708","84112","Karnataka Vikas Grameena Bank-20331","SF00476-Punith Doddamani","2024-08-19","Completed","10","22428","0","22347","81","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00206-Somappa Lakshmappa Talawar","2024-08-19 07:21:15.548"
"37-Amargol Hubli","158-Kittur","10492","galginmad-_10492","576742","95310","Karnataka Vikas Grameena Bank-24283","","2024-12-03","Completed","24","37930","0","37930","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"4-Darbhanga","149-Rosera","7960","jahangirpur_7960","554149","75925","Bank of India-19412","SF01531-Akash Kumar","2025-01-01","Completed","30","33399","0","33230","169","not paid","PreClosure","None","app","0","0","Absent","NA","NA","SF00751-Dinesh Kumar Mukhiya","2025-01-01 13:04:42.691"
"4-Darbhanga","148-Sahebganj","5697","rasulpur_5697","529818","56427","Bank of Baroda-10405","SF01282-Krishn Kumar","2025-02-06","Completed","46","19724","0","19710","14","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00454-Birendra kumar","2025-02-06 08:41:26.113"
"2-Mathura","118-Aligarh","10940","jakir-nagar_10940","588970","105594","Bank of Baroda-28037","SFIN001-SREFINCREDIT-USER","2024-11-05","Completed","16","35725","0","35596","129","","PreClosure","","app","0","0","Absent","NA","NA","SF01305-SACHIN CHAUDHARY","2024-11-05 06:47:06.393"
